=||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||=
||                                                          ||
||   //////  //   //  /////   /////   /////  /////  /////   ||
||   //       // //   //  //  //  //  //     //     //      ||
||   //////    ///    /////   ////    /////  /////  /////   ||
||   //       // //   //      // //   //        //     //   ||
||   //////  //   //  //      //  //  /////  /////  /////   ||
||                                                          ||
=||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||=


# [🟢][DONE][08/06/2024:03:36:30] -> [{"from":"morgan","url":"http://192.168.31.157:5500/"}(🏷️IP:192.168.31.157)] => [🔘<OPTIONS /api/v1/user/signup HTTP/1.1)>(status: 204) -- 0ms]
# [🟢][DONE][08/06/2024:03:36:30] -> [{"file":"/controllers/TokenSessionController.ts"}(🏷️IP:192.168.31.157)] => [NEW TOKEN SESSION CREATED FOR "CONFIRM_EMAIL", (OWNER_ID: 2)]
# [🟢][DONE][08/06/2024:03:36:32] -> [{"file":"/assets/helpers/emailHelper.ts"}] => ["Confirm Email":(<noreply@faynn.com> ✉️-> <vuqarsfrzad@gmail.com>)]
# [🟢][DONE][08/06/2024:03:36:32] -> [{"file":"/controllers/UserController.ts"}(🏷️IP:192.168.31.157)] => [New user registered, user_id: 2]
# [🟢][DONE][08/06/2024:03:36:33] -> [{"from":"morgan","url":"http://192.168.31.157:5500/"}(🏷️IP:192.168.31.157)] => [🔘<POST /api/v1/user/signup HTTP/1.1)>(status: 201) -- 77ms]
# [🟢][DONE][08/06/2024:03:37:09] -> [{"from":"morgan","url":"http://192.168.31.157:5500/"}(🏷️IP:192.168.31.157)] => [🔘<OPTIONS /api/v1/user/confirm_email?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJlbWFpbCI6InZ1cWFyc2ZyemFkQGdtYWlsLmNvbSIsImlhdCI6MTcxNzgwMzM5MCwiZXhwIjoxNzE3ODg5NzkwfQ.mSQXM5VKEZpHzE_ueP-gRBB3HqlT3m-Aek056F1jnDU HTTP/1.1)>(status: 204) -- 0ms]
# [🟢][DONE][08/06/2024:03:37:09] -> [{"from":"morgan","url":"http://192.168.31.157:5500/"}(🏷️IP:192.168.31.157)] => [🔘<GET /api/v1/user/confirm_email?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoyLCJlbWFpbCI6InZ1cWFyc2ZyemFkQGdtYWlsLmNvbSIsImlhdCI6MTcxNzgwMzM5MCwiZXhwIjoxNzE3ODg5NzkwfQ.mSQXM5VKEZpHzE_ueP-gRBB3HqlT3m-Aek056F1jnDU HTTP/1.1)>(status: 200) -- 43ms]
